databaseID	AGORA_ID	CopyNum
GCF_000023905.1_ASM2390v1	Leptotrichia_buccalis_C_1013_b	5
GCF_000023925.1_ASM2392v1	Kytococcus_sedentarius_DSM_20547	2
GCF_000024105.1_ASM2410v1	Anaerococcus_prevotii_DSM_20548	4
GCF_000024185.1_ASM2418v1	Methanobrevibacter_ruminantium_M1	2
GCF_000024225.1_ASM2422v1	Atopobium_parvulum_DSM_20469	1
GCF_000024265.1_ASM2426v1	Eggerthella_lenta_DSM_2243	3
GCF_000025085.1_ASM2508v1	Staphylococcus_lugdunensis_HKU09_01	6
GCF_000025245.1_ASM2524v1	Bifidobacterium_animalis_lactis_BB_12	4
GCF_000025305.1_ASM2530v1	Acidaminococcus_fermentans_DSM_20731	6
GCF_000025925.1_ASM2592v1	Prevotella_ruminicola_23	4
GCF_000025985.1_ASM2598v1	Bacteroides_fragilis_NCTC_9343	6
GCF_000026065.1_ASM2606v1	Lactobacillus_sakei_subsp_sakei_23K	7
GCF_000026225.1_ASM2622v1	Escherichia_fergusonii_ATCC_35469	7
GCF_000026485.1_ASM2648v1	Lactobacillus_casei_casei_BL23	5
GCF_000026505.1_ASM2650v1	Lactobacillus_rhamnosus_GG_ATCC_53103	5
GCF_000046685.1_ASM4668v1	Bartonella_quintana_Toulouse	2
GCF_000056065.1_ASM5606v1	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842	9
GCF_000063585.1_ASM6358v1	Clostridium_botulinum_A_str_ATCC_3502	9
GCF_000085225.1_ASM8522v1	Clostridium_difficile_CD196	10
GCF_000085865.1_ASM8586v1	Mycoplasma_hominis_ATCC_23114	2
GCF_000091725.1_ASM9172v1	Propionibacterium_freudenreichii_subsp_shermanii_CIRM_BIA1	2
GCF_000092325.1_ASM9232v1	Bifidobacterium_longum_longum_JDM301	3
GCF_000092345.1_ASM9234v1	Clostridium_botulinum_F_str_230613	9
GCF_000092365.1_ASM9236v1	Arcanobacterium_haemolyticum_DSM_20595	4
GCF_000092765.1_ASM9276v1	Bifidobacterium_animalis_lactis_V9	4
GCF_000143745.1_ASM14374v1	Lactobacillus_plantarum_subsp_plantarum_ATCC_14917	1
GCF_000143845.1_ASM14384v1	Olsenella_uli_DSM_7084	1
GCF_000144405.1_ASM14440v1	Prevotella_melaninogenica_ATCC_25845	4
GCF_000144975.1_ASM14497v1	Burkholderiales_bacterium_1_1_47	5
GCF_000145235.1_ASM14523v1	Micromonospora_aurantiaca_ATCC_27029	3
GCF_000145315.2_Desulfovibrio_sp3_1_syn3_V2	Desulfovibrio_sp_3_1_syn3	3
GCF_000146185.1_ASM14618v1	Eubacterium_eligens_ATCC_27750	5
GCF_000146305.1_ASM14630v1	Edwardsiella_tarda_FL6_60	8
GCF_000146325.1_ASM14632v1	Pediococcus_acidilactici_DSM_20284	1
GCF_000146835.1_ASM14683v1	Campylobacter_coli_JV20	1
GCF_000147675.1_ASM14767v1	Peptostreptococcus_stomatis_DSM_17678	1
GCF_000148065.1_ASM14806v1	Enterococcus_faecalis_TX2134	1
GCF_000148585.1_ASM14858v1	Streptococcus_mitis_NCTC_12261	4
GCF_000148705.1_ASM14870v1	Campylobacter_jejuni_jejuni_M1	3
GCF_000148995.1_ASM14899v1	Listeria_grayi_DSM_20601	3
GCF_000152245.2_ASM15224v2	Eubacterium_limosum_KIST612	5
GCF_000153885.1_ASM15388v1	Eubacterium_ventriosum_ATCC_27560	3
GCF_000153905.1_ASM15390v1	Blautia_obeum_ATCC_29174	4
GCF_000153925.1_ASM15392v1	Ruminococcus_torques_ATCC_27756	9
GCF_000154065.1_ASM15406v1	Dorea_longicatena_DSM_13814	2
GCF_000154105.1_ASM15410v1	Parabacteroides_merdae_ATCC_43184	4
GCF_000154125.1_ASM15412v1	Bacteroides_ovatus_ATCC_8483	4
GCF_000154205.1_ASM15420v1	Bacteroides_uniformis_ATCC_8492	4
GCF_000154225.1_ASM15422v1	Actinomyces_odontolyticus_ATCC_17982	2
GCF_000154245.1_ASM15424v1	Clostridium_sp_M62_1	NA
GCF_000154285.1_ASM15428v1	Eubacterium_dolichum_DSM_3991	2
GCF_000154305.1_ASM15430v1	Anaerostipes_caccae_DSM_14662	4
GCF_000154325.1_ASM15432v1	Eubacterium_siraeum_DSM_15702	4
GCF_000154345.1_ASM15434v1	Clostridium_leptum_DSM_753	2
GCF_000154365.1_ASM15436v1	Clostridium_bolteae_ATCC_BAA_613	2
GCF_000154385.1_ASM15438v1	Faecalibacterium_prausnitzii_M21_2	NA
GCF_000154405.1_ASM15440v1	Parvimonas_micra_ATCC_33270	1
GCF_000154425.1_ASM15442v1	Coprococcus_eutactus_ATCC_27759	5
GCF_000154445.1_ASM15444v1	Clostridium_bartlettii_DSM_16795	6
GCF_000154465.1_ASM15446v1	Alistipes_putredinis_DSM_17216	2
GCF_000154505.1_ASM15450v1	Clostridium_scindens_ATCC_35704	6
GCF_000154525.1_ASM15452v1	Bacteroides_stercoris_ATCC_43183	4
GCF_000154545.1_ASM15454v1	Clostridium_sp_SS2_1	NA
GCF_000154565.1_ASM15456v1	Anaerotruncus_colihominis_DSM_17241	4
GCF_000154805.1_ASM15480v1	Clostridium_spiroforme_DSM_1552	4
GCF_000154825.1_ASM15482v1	Anaerofustis_stercorihominis_DSM_17244	2
GCF_000154865.1_ASM15486v1	Providencia_stuartii_ATCC_25827	7
GCF_000154985.1_ASM15498v1	Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102	3
GCF_000155085.1_ASM15508v1	Clostridium_sporogenes_ATCC_15579	7
GCF_000155105.1_ASM15510v1	Escherichia_albertii_TW07627	2
GCF_000155205.1_ASM15520v1	Ruminococcus_lactaris_ATCC_29176	3
GCF_000155395.1_ASM15539v1	Bifidobacterium_bifidum_NCIMB_41171	2
GCF_000155415.1_ASM15541v1	Bifidobacterium_longum_longum_CCUG_52486	1
GCF_000155435.1_ASM15543v1	Clostridiales_sp_1_7_47FAA	1
GCF_000155455.1_ASM15545v1	Helicobacter_canadensis_MIT_98_5491	1
GCF_000155475.1_ASM15547v1	Helicobacter_cinaedi_CCUG_18818	1
GCF_000155495.1_ASM15549v1	Helicobacter_pullorum_MIT_98_5489	1
GCF_000155515.2_ASM15551v2	Lactobacillus_paracasei_subsp_paracasei_8700_2	5
GCF_000155815.1_ASM15581v1	Bacteroides_eggerthii_DSM_20697	1
GCF_000155855.1_ASM15585v1	Bacteroides_pectinophilus_ATCC_43243	2
GCF_000155875.1_ASM15587v1	Coprococcus_comes_ATCC_27758	3
GCF_000155915.2_Lacto_jensenii_1153_V2	Lactobacillus_jensenii_1153	2
GCF_000155955.1_ASM15595v1	Mitsuokella_multacida_DSM_20544	4
GCF_000155975.1_ASM15597v1	Citrobacter_youngae_ATCC_29220	4
GCF_000155995.1_ASM15599v1	Enterobacter_cancerogenus_ATCC_35316	5
GCF_000156015.1_ASM15601v1	Butyrivibrio_crossotus_DSM_2876	5
GCF_000156035.2_ASM15603v2	Clostridium_nexile_DSM_1787	2
GCF_000156075.1_ASM15607v1	Bacteroides_dorei_DSM_17855	1
GCF_000156175.1_ASM15617v1	Collinsella_intestinalis_DSM_13280	2
GCF_000156195.1_ASM15619v1	Bacteroides_finegoldii_DSM_17565	1
GCF_000156215.1_ASM15621v1	Collinsella_stercoris_DSM_13279	1
GCF_000156375.1_ASM15637v1	Desulfovibrio_piger_ATCC_29098	2
GCF_000156395.1_ASM15639v1	Providencia_rustigianii_DSM_4541	4
GCF_000156495.1_ASM15649v1	Parabacteroides_johnsonii_DSM_18315	1
GCF_000156515.1_ASM15651v1	Clostridium_hylemonae_DSM_15053	NA
GCF_000156535.1_ASM15653v1	Roseburia_intestinalis_L1_82	2
GCF_000156595.1_ASM15659v1	Corynebacterium_glucuronolyticum_ATCC_51867	1
GCF_000156635.1_ASM15663v1	Bifidobacterium_angulatum_DSM_20098	1
GCF_000156655.1_ASM15665v1	Eubacterium_biforme_DSM_3989	1
GCF_000157015.1_ASM15701v1	Bacteroides_fragilis_3_1_12	1
GCF_000157035.2_Bacteroides_sp_2_1_7_V2	Bacteroides_sp_2_1_7	3
GCF_000157055.1_ASM15705v1	Bacteroides_sp_2_2_4	1
GCF_000157075.2_Bact_sp_9_1_42FAA_V2	Bacteroides_sp_9_1_42FAA	2
GCF_000157095.2_Bacteroides_sp_D1_V2	Bacteroides_sp_D1	1
GCF_000157255.1_ASM15725v1	Enterococcus_gallinarum_EG2	1
GCF_000157915.1_ASM15791v1	Bacteroides_coprophilus_DSM_18228	1
GCF_000157955.1_ASM15795v1	Subdoligranulum_variabile_DSM_15176	1
GCF_000157975.1_ASM15797v1	Blautia_hydrogenotrophica_DSM_10507	1
GCF_000158035.1_ASM15803v1	Bacteroides_cellulosilyticus_DSM_14838	1
GCF_000158055.1_ASM15805v1	Providencia_rettgeri_DSM_1131	3
GCF_000158075.1_ASM15807v1	Clostridium_asparagiforme_DSM_15981	1
GCF_000158195.2_Fuso_mor_ATCC9817_V2	Fusobacterium_mortiferum_ATCC_9817	4
GCF_000158215.3_Fuso_sp_2_1_31_V3	Fusobacterium_periodonticum_2_1_31	4
GCF_000158235.1_ASM15823v1	Fusobacterium_gonidiaformans_3_1_5R	2
GCF_000158255.2_Fuso_sp_4_1_13_V2	Fusobacterium_nucleatum_subsp_vincentii_4_1_13	6
GCF_000158275.2_ASM15827v2	Fusobacterium_nucleatum_subsp_animalis_7_1	10
GCF_000158315.2_Fuso_ulc_ATCC49185_V2	Fusobacterium_ulcerans_ATCC_49185	4
GCF_000158375.2_Clostridium_sp_7_2_43FAA_V2	Clostridium_sp_L2_50	4
GCF_000158415.2_Escherichia_sp_4_1_40B_V2	Escherichia_sp_4_1_40B	2
GCF_000158435.2_Heli_bilis_ATCC43879_V2	Helicobacter_bilis_ATCC_43879	1
GCF_000158455.1_ASM15845v1	Helicobacter_winghamensis_ATCC_BAA_430	1
GCF_000158475.2_Oxal_for_HOxBLS_2_V2	Oxalobacter_formigenes_HOxBLS	1
GCF_000158495.1_ASM15849v1	Oxalobacter_formigenes_OXCC13	1
GCF_000158515.2_Bacteroides_sp_4_3_47FAA_V2	Bacteroides_sp_4_3_47FAA	1
GCF_000158535.2_Fuso_nucl_D11_V2	Fusobacterium_nucleatum_subsp_animalis_D11	4
GCF_000158555.2_Erys_bact_D7_V2	Coprobacillus_sp_D7	2
GCF_000158615.1_ASM15861v1	Eikenella_corrodens_ATCC_23834	1
GCF_000158835.2_Fuso_gon_ATCC25563_V2	Fusobacterium_gonidiaformans_ATCC_25563	5
GCF_000159035.1_ASM15903v1	Actinomyces_urogenitalis_DSM_15434	1
GCF_000159055.1_ASM15905v1	Clostridium_sp_7_2_43FAA	3
GCF_000159075.2_Bact_sp_D2_V2	Bacteroides_sp_D2	1
GCF_000159135.1_ASM15913v1	Corynebacterium_striatum_ATCC_6940	1
GCF_000159175.1_ASM15917v1	Lactobacillus_brevis_subsp_gravesensis_ATCC_27305	1
GCF_000159195.1_ASM15919v1	Lactobacillus_buchneri_ATCC_11577	1
GCF_000159215.1_ASM15921v1	Lactobacillus_fermentum_ATCC_14931	2
GCF_000159255.1_ASM15925v1	Enterococcus_faecalis_TX0104	1
GCF_000159275.1_ASM15927v1	Enterococcus_faecalis_TX1322	1
GCF_000159315.1_ASM15931v1	Lactobacillus_hilgardii_ATCC_8290	1
GCF_000159375.2_ASM15937v2	Lactobacillus_ruminis_ATCC_25644	1
GCF_000159415.1_ASM15941v1	Lactobacillus_ultunensis_DSM_16047	1
GCF_000159435.1_ASM15943v1	Lactobacillus_vaginalis_ATCC_49540	4
GCF_000159455.2_ASM15945v2	Lactobacillus_reuteri_SD2112_ATCC_55730	6
GCF_000159475.2_ASM15947v2	Lactobacillus_reuteri_MM4_1A_	6
GCF_000159495.1_ASM15949v1	Lactobacillus_paracasei_subsp_paracasei_ATCC_25302	1
GCF_000159615.1_ASM15961v1	Lactobacillus_reuteri_CF48_3A_	2
GCF_000159675.1_ASM15967v1	Enterococcus_faecium_TX1330	1
GCF_000159715.1_ASM15971v1	Lactobacillus_acidophilus_ATCC_4796	2
GCF_000159855.2_Bact_sp_3_2_5_V2	Bacteroides_sp_3_2_5	1
GCF_000159895.2_Escherichia_sp_1_1_43_V2	Escherichia_sp_1_1_43	1
GCF_000159915.2_Fuso_varium_ATCC_27725_V2	Fusobacterium_varium_ATCC_27725	4
GCF_000159975.2_Ruminococus_sp_5_1_39B_FAA_V2	Ruminococcus_sp_5_1_39BFAA	7
GCF_000159995.1_ASM15999v1	Alloprevotella_tannerae_ATCC_51259	1
GCF_000160015.1_ASM16001v1	Veillonella_dispar_ATCC_17748	3
GCF_000160055.1_ASM16005v1	Dialister_invisus_DSM_15470	3
GCF_000160075.2_ASM16007v2	Abiotrophia_defectiva_ATCC_49176	NA
GCF_000160095.1_ASM16009v1	Clostridium_hathewayi_DSM_13479	1
GCF_000160175.1_ASM16017v1	Lactobacillus_rhamnosus_LMS2_1	1
GCF_000160435.1_ASM16043v1	Kingella_oralis_ATCC_51147	1
GCF_000160575.1_ASM16057v1	Weissella_paramesenteroides_ATCC_33313	1
GCF_000160595.1_ASM16059v1	Leuconostoc_mesenteroides_subsp_cremoris_ATCC_19254	1
GCF_000160635.1_ASM16063v1	Oribacterium_sinus_F0268	2
GCF_000160675.1_ASM16067v1	Granulicatella_adiacens_ATCC_49175	1
GCF_000160715.1_ASM16071v1	Lactobacillus_reuteri_MM2_3_	1
GCF_000160835.1_ASM16083v1	Lactobacillus_antri_DSM_16041	1
GCF_000160855.1_ASM16085v1	Lactobacillus_helveticus_DSM_20075	1
GCF_000160875.1_ASM16087v1	Lactobacillus_iners_DSM_13335	1
GCF_000161935.1_ASM16193v1	Lactobacillus_coleohominis_101_4_CHN	1
GCF_000161955.2_Strept_sp_2_1_36FAA_V2	Streptococcus_sp_2_1_36FAA	2
GCF_000161975.1_ASM16197v1	Eubacterium_saphenum_ATCC_49989	2
GCF_000162055.1_ASM16205v1	Acinetobacter_johnsonii_SH046	1
GCF_000162075.1_ASM16207v1	Acinetobacter_junii_SH205	1
GCF_000162155.1_ASM16215v1	Bacteroides_sp_2_1_22	1
GCF_000162175.1_ASM16217v1	Bacteroides_sp_2_1_33B	2
GCF_000162195.1_ASM16219v1	Bacteroides_sp_3_1_33FAA	1
GCF_000162215.1_ASM16221v1	Bacteroides_sp_D20	1
GCF_000162235.2_ASM16223v2	Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2	5
GCF_000162255.1_ASM16225v1	Lactobacillus_crispatus_125_2_CHN	1
GCF_000162275.1_ASM16227v1	Parabacteroides_sp_D13	1
GCF_000162355.2_Fuso_sp_3_1_33_V2	Fusobacterium_nucleatum_subsp_animalis_3_1_33	5
GCF_000162475.2_Gran_ele_ATCC_700633_V2	Granulicatella_elegans_ATCC_700633	1
GCF_000162535.1_ASM16253v1	Bacteroides_sp_20_3	7
GCF_000162555.1_ASM16255v1	Bacteroides_sp_3_1_23	4
GCF_000162575.1_ASM16257v1	Helicobacter_canadensis_MIT_98_5491	3
GCF_000162875.1_ASM16287v1	Slackia_exigua_ATCC_700122	3
GCF_000163095.1_ASM16309v1	Pediococcus_acidilactici_7_4	1
GCF_000163295.1_ASM16329v1	Anaerococcus_vaginalis_ATCC_51170	1
GCF_000163515.2_Ery_bact_5_2_54FAA_V2	Erysipelotrichaceae_bacterium_5_2_54FAA	3
GCF_000163655.1_ASM16365v1	Bacteroides_sp_3_1_19	3
GCF_000163675.1_ASM16367v1	Bacteroides_sp_D22	1
GCF_000163715.1_ASM16371v1	Veillonella_sp_3_1_44	4
GCF_000163735.1_ASM16373v1	Veillonella_sp_6_1_27	5
GCF_000163755.1_ASM16375v1	Scardovia_inopinata_F0304	3
GCF_000163895.2_ASM16389v2	Filifactor_alocis_ATCC_35896	4
GCF_000163915.2_ASM16391v2	Fusobacterium_nucleatum_subsp_vincentii_3_1_27	5
GCF_000163935.1_ASM16393v1	Fusobacterium_periodonticum_1_1_41FAA	5
GCF_000163955.1_ASM16395v1	Edwardsiella_tarda_ATCC_23685	2
GCF_000164115.1_ASM16411v1	Corynebacterium_ammoniagenes_DSM_20306	1
GCF_000164155.2_ASM16415v2	Rhodococcus_equi_NBRC_101255	5
GCF_000164175.1_ASM16417v1	Clostridium_difficile_NAP08	1
GCF_000164655.1_ASM16465v1	Clostridium_difficile_NAP07	1
GCF_000164695.2_ASM16469v2	Rothia_dentocariosa_ATCC_17931	3
GCF_000164965.1_ASM16496v1	Bifidobacterium_bifidum_S17	3
GCF_000165905.1_ASM16590v1	Bifidobacterium_bifidum_PRL2010	3
GCF_000166035.1_ASM16603v1	Faecalibacterium_cf_prausnitzii_KLE1255	1
GCF_000166315.1_ASM16631v1	Bifidobacterium_longum_longum_BBMN68	3
GCF_000166895.2_ASM16689v2	Bifidobacterium_longum_DJO10A	NA
GCF_000167575.1_ASM16757v1	Brevibacterium_linens_BL2	3
GCF_000167975.1_ASM16797v1	Yersinia_bercovieri_ATCC_43970	17
GCF_000168015.1_ASM16801v1	Yersinia_frederiksenii_ATCC_33641	2
GCF_000168575.2_ASM16857v2	Listeria_monocytogenes_FSL_R2_561	6
GCF_000168595.2_ASM16859v2	Listeria_monocytogenes_Finland_1988	6
GCF_000168635.2_ASM16863v2	Listeria_monocytogenes_J0161_FSL_R2_499	5
GCF_000169015.1_ASM16901v1	Bacteroides_caccae_ATCC_43185	5
GCF_000169035.1_ASM16903v1	Collinsella_aerofaciens_ATCC_25986	6
GCF_000169235.1_ASM16923v1	Dorea_formicigenerans_ATCC_27755	7
GCF_000169255.2_ASM16925v2	Pseudoflavonifractor_capillosus_strain_ATCC_29799	3
GCF_000169475.1_ASM16947v1	Ruminococcus_gnavus_ATCC_29149	2
GCF_000169535.1_ASM16953v1	Ureaplasma_urealyticum_serovar_8_str_ATCC_27618	2
GCF_000171075.1_ASM17107v1	Clostridium_botulinum_Bf	19
GCF_000171375.1_ASM17137v1	Ureaplasma_parvum_serovar_1_str_ATCC_27813	2
GCF_000172135.1_ASM17213v1	Bifidobacterium_dentium_ATCC_27678	4
GCF_000172415.1_ASM17241v1	Paenibacillus_graminis_C4D1M	NA
GCF_000172575.2_ASM17257v2	Enterococcus_faecalis_OG1RF_ATCC_47077	4
GCF_000172815.1_ASM17281v1	Bacillus_pumilus_ATCC_7061	9
GCF_000173355.1_ASM17335v1	Anaerococcus_hydrogenalis_DSM_7454	5
GCF_000173375.1_ASM17337v1	Bifidobacterium_gallicum_DSM_20093	1
GCF_000173415.1_ASM17341v1	Providencia_alcalifaciens_DSM_30120	1
GCF_000173435.1_ASM17343v1	Bifidobacterium_pseudocatenulatum_DSM_20438	7
GCF_000173455.1_ASM17345v1	Bifidobacterium_catenulatum_DSM_16992	1
GCF_000173655.1_ASM17365v1	Corynebacterium_amycolatum_SK46	1
GCF_000173675.1_ASM17367v1	Capnocytophaga_sputigena_ATCC_33612	1
GCF_000173715.1_ASM17371v1	Yersinia_kristensenii_ATCC_33638	NA
GCF_000173775.1_ASM17377v1	Yersinia_rohdei_ATCC_43380	2
GCF_000173795.1_ASM17379v1	Catenibacterium_mitsuokai_DSM_15897	1
GCF_000173875.1_ASM17387v1	Neisseria_mucosa_ATCC_25996	4
GCF_000173895.1_ASM17389v1	Neisseria_cinerea_ATCC_14685	3
GCF_000173915.1_ASM17391v1	Gemella_haemolysans_ATCC_10379	6
GCF_000173955.1_ASM17395v1	Neisseria_subflava_NJ9703	4
GCF_000173975.1_ASM17397v1	Eubacterium_hallii_DSM_3353	1
GCF_000174015.1_ASM17401v1	Atopobium_rimae_ATCC_49626	1
GCF_000174035.1_ASM17403v1	Mycobacterium_avium_subsp_avium_ATCC_25291	1
GCF_000174175.1_ASM17417v1	Campylobacter_rectus_RM3267	1
GCF_000174195.1_ASM17419v1	Roseburia_inulinivorans_DSM_16841	4
GCF_000174695.1_ASM17469v1	Corynebacterium_aurimucosum_ATCC_700975	1
GCF_000174775.1_ASM17477v1	Porphyromonas_uenonis_60_3	1
GCF_000174815.1_ASM17481v1	Porphyromonas_endodontalis_ATCC_35406	1
GCF_000174895.1_ASM17489v1	Ruminococcus_flavefaciens_FD_1	2
GCF_000175275.1_ASM17527v1	Neisseria_flavescens_SK114	5
GCF_000175315.3_Acti_vis_C505_V3	Actinomyces_viscosus_C505	3
GCF_000175335.1_ASM17533v1	Clostridium_botulinum_E1_str_BoNT_E_Beluga	12
GCF_000175635.1_ASM17563v1	Corynebacterium_tuberculostearicum_SK141	1
GCF_000175875.1_ASM17587v1	Campylobacter_gracilis_RM3268	1
GCF_000176375.1_ASM17637v1	Vibrio_mimicus_MB_451	7
GCF_000176515.1_ASM17651v1	Grimontia_hollisae_CIP_101886	8
GCF_000176755.2_ASM17675v1	Neisseria_elongata_subsp_glycolytica_ATCC_29315	5
GCF_000177015.3_Rumi_bact_D16_V2	Ruminococcaceae_bacterium_D16	2
GCF_000177055.1_ASM17705v1	Prevotella_timonensis_CRIS_5C_B1	1
