NCBI_ID	RefSeq_biosample	Organism	GenomeID	RefSeq_assembly_accession	RefSeq_bioproject	RefSeq_ftp_path	# assembly_accession	bioproject	ftp_path
1338	SAMN08324742	Staphylococcus intermedius ATCC 27335	1878	GCF_002879575.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/879/575/GCF_002879575.1_ASM287957v1	GCA_002879575.1	PRJNA428930	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/879/575/GCA_002879575.1_ASM287957v1
1338	SAMN08324743	Staphylococcus intermedius ATCC 27335	1878	GCF_002879755.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/879/755/GCF_002879755.1_ASM287975v1	GCA_002879755.1	PRJNA428930	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/879/755/GCA_002879755.1_ASM287975v1
1547	NA	Clostridium ramosum VPI 0427, DSM 1402	962	NA	NA	NA	NA	NA	NA
1598	SAMEA3220431	Lactobacillus reuteri F275, JCM 1112	438	GCF_002888655.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/888/655/GCF_002888655.1_ASM288865v1	GCA_002888655.1	PRJEB8323	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/888/655/GCA_002888655.1_ASM288865v1
1598	SAMN03382532	Lactobacillus reuteri F275, JCM 1112	438	GCF_001046835.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/835/GCF_001046835.1_ASM104683v1	GCA_001046835.1	PRJNA276785	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/046/835/GCA_001046835.1_ASM104683v1
1598	SAMN03854115	Lactobacillus reuteri F275, JCM 1112	438	GCF_002221655.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/655/GCF_002221655.1_ASM222165v1	GCA_002221655.1	PRJNA289613	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/221/655/GCA_002221655.1_ASM222165v1
1598	SAMN03879966	Lactobacillus reuteri F275, JCM 1112	438	GCF_001618905.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/905/GCF_001618905.1_ASM161890v1	GCA_001618905.1	PRJNA290298	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/905/GCA_001618905.1_ASM161890v1
1598	SAMN04621617	Lactobacillus reuteri F275, JCM 1112	438	GCF_001688685.2	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/685/GCF_001688685.2_ASM168868v2	GCA_001688685.2	PRJNA317592	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/685/GCA_001688685.2_ASM168868v2
1598	SAMN05182497	Lactobacillus reuteri F275, JCM 1112	438	GCF_001657495.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/657/495/GCF_001657495.1_ASM165749v1	GCA_001657495.1	PRJNA323635	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/657/495/GCA_001657495.1_ASM165749v1
1598	SAMN05371093	Lactobacillus reuteri F275, JCM 1112	438	GCF_001703855.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/855/GCF_001703855.1_ASM170385v1	GCA_001703855.1	PRJNA328437	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/855/GCA_001703855.1_ASM170385v1
1598	SAMN05371094	Lactobacillus reuteri F275, JCM 1112	438	GCF_001703865.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/865/GCF_001703865.1_ASM170386v1	GCA_001703865.1	PRJNA328440	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/865/GCA_001703865.1_ASM170386v1
1598	SAMN05371178	Lactobacillus reuteri F275, JCM 1112	438	GCF_001703885.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/885/GCF_001703885.1_ASM170388v1	GCA_001703885.1	PRJNA328441	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/885/GCA_001703885.1_ASM170388v1
1598	SAMN05371179	Lactobacillus reuteri F275, JCM 1112	438	GCF_001703875.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/875/GCF_001703875.1_ASM170387v1	GCA_001703875.1	PRJNA328442	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/875/GCA_001703875.1_ASM170387v1
1598	SAMN05371506	Lactobacillus reuteri F275, JCM 1112	438	GCF_001703935.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/935/GCF_001703935.1_ASM170393v1	GCA_001703935.1	PRJNA328444	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/935/GCA_001703935.1_ASM170393v1
1598	SAMN05514174	Lactobacillus reuteri F275, JCM 1112	438	GCF_001705505.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/505/GCF_001705505.1_ASM170550v1	GCA_001705505.1	PRJNA337947	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/505/GCA_001705505.1_ASM170550v1
1598	SAMN05751479	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128485.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/485/GCF_002128485.1_ASM212848v1	GCA_002128485.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/485/GCA_002128485.1_ASM212848v1
1598	SAMN05751480	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128515.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/515/GCF_002128515.1_ASM212851v1	GCA_002128515.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/515/GCA_002128515.1_ASM212851v1
1598	SAMN05751482	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128525.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/525/GCF_002128525.1_ASM212852v1	GCA_002128525.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/525/GCA_002128525.1_ASM212852v1
1598	SAMN05751483	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128495.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/495/GCF_002128495.1_ASM212849v1	GCA_002128495.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/495/GCA_002128495.1_ASM212849v1
1598	SAMN05751484	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128555.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/555/GCF_002128555.1_ASM212855v1	GCA_002128555.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/555/GCA_002128555.1_ASM212855v1
1598	SAMN05751485	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128585.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/585/GCF_002128585.1_ASM212858v1	GCA_002128585.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/585/GCA_002128585.1_ASM212858v1
1598	SAMN05751486	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128715.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/715/GCF_002128715.1_ASM212871v1	GCA_002128715.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/715/GCA_002128715.1_ASM212871v1
1598	SAMN05751488	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128755.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/755/GCF_002128755.1_ASM212875v1	GCA_002128755.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/755/GCA_002128755.1_ASM212875v1
1598	SAMN05751489	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128605.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/605/GCF_002128605.1_ASM212860v1	GCA_002128605.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/605/GCA_002128605.1_ASM212860v1
1598	SAMN05751490	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128745.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/745/GCF_002128745.1_ASM212874v1	GCA_002128745.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/745/GCA_002128745.1_ASM212874v1
1598	SAMN05751492	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128615.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/615/GCF_002128615.1_ASM212861v1	GCA_002128615.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/615/GCA_002128615.1_ASM212861v1
1598	SAMN05751493	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128635.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/635/GCF_002128635.1_ASM212863v1	GCA_002128635.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/635/GCA_002128635.1_ASM212863v1
1598	SAMN05751494	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128655.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/655/GCF_002128655.1_ASM212865v1	GCA_002128655.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/655/GCA_002128655.1_ASM212865v1
1598	SAMN05751495	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128685.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/685/GCF_002128685.1_ASM212868v1	GCA_002128685.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/685/GCA_002128685.1_ASM212868v1
1598	SAMN05751496	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128765.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/765/GCF_002128765.1_ASM212876v1	GCA_002128765.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/765/GCA_002128765.1_ASM212876v1
1598	SAMN05751497	Lactobacillus reuteri F275, JCM 1112	438	GCF_002128705.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/705/GCF_002128705.1_ASM212870v1	GCA_002128705.1	PRJNA342243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/705/GCA_002128705.1_ASM212870v1
1598	SAMN05788099	Lactobacillus reuteri F275, JCM 1112	438	GCF_001889975.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/975/GCF_001889975.1_ASM188997v1	GCA_001889975.1	PRJNA344848	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/975/GCA_001889975.1_ASM188997v1
1598	SAMN05942019	Lactobacillus reuteri F275, JCM 1112	438	GCF_003053005.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/053/005/GCF_003053005.1_ASM305300v1	GCA_003053005.1	PRJNA336518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/053/005/GCA_003053005.1_ASM305300v1
1598	SAMN05942020	Lactobacillus reuteri F275, JCM 1112	438	GCF_003061745.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/061/745/GCF_003061745.1_ASM306174v1	GCA_003061745.1	PRJNA336518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/061/745/GCA_003061745.1_ASM306174v1
1598	SAMN05942021	Lactobacillus reuteri F275, JCM 1112	438	GCF_003061685.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/061/685/GCF_003061685.1_ASM306168v1	GCA_003061685.1	PRJNA336518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/061/685/GCA_003061685.1_ASM306168v1
1598	SAMN05942022	Lactobacillus reuteri F275, JCM 1112	438	GCF_003065345.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/065/345/GCF_003065345.1_ASM306534v1	GCA_003065345.1	PRJNA336518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/065/345/GCA_003065345.1_ASM306534v1
1598	SAMN06315550	Lactobacillus reuteri F275, JCM 1112	438	GCF_002007085.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/085/GCF_002007085.1_ASM200708v1	GCA_002007085.1	PRJNA373841	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/085/GCA_002007085.1_ASM200708v1
1598	SAMN06364940	Lactobacillus reuteri F275, JCM 1112	438	GCF_002156605.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/605/GCF_002156605.1_ASM215660v1	GCA_002156605.1	PRJNA376205	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/605/GCA_002156605.1_ASM215660v1
1598	SAMN06464108	Lactobacillus reuteri F275, JCM 1112	438	GCF_003064585.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/064/585/GCF_003064585.1_ASM306458v1	GCA_003064585.1	PRJNA336518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/064/585/GCA_003064585.1_ASM306458v1
1598	SAMN06473517	Lactobacillus reuteri F275, JCM 1112	438	GCF_002027295.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/027/295/GCF_002027295.1_ASM202729v1	GCA_002027295.1	PRJNA377846	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/027/295/GCA_002027295.1_ASM202729v1
1598	SAMN06473632	Lactobacillus reuteri F275, JCM 1112	438	GCF_002160565.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/160/565/GCF_002160565.1_ASM216056v1	GCA_002160565.1	PRJNA377666	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/160/565/GCA_002160565.1_ASM216056v1
1598	SAMN06473750	Lactobacillus reuteri F275, JCM 1112	438	GCF_002159305.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/159/305/GCF_002159305.1_ASM215930v1	GCA_002159305.1	PRJNA377666	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/159/305/GCA_002159305.1_ASM215930v1
1598	SAMN06640219	Lactobacillus reuteri F275, JCM 1112	438	GCF_002112195.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/195/GCF_002112195.1_ASM211219v1	GCA_002112195.1	PRJNA380292	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/112/195/GCA_002112195.1_ASM211219v1
1598	SAMN06640220	Lactobacillus reuteri F275, JCM 1112	438	GCF_002112225.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/225/GCF_002112225.1_ASM211222v1	GCA_002112225.1	PRJNA380292	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/112/225/GCA_002112225.1_ASM211222v1
1598	SAMN06640221	Lactobacillus reuteri F275, JCM 1112	438	GCF_002112185.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/185/GCF_002112185.1_ASM211218v1	GCA_002112185.1	PRJNA380292	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/112/185/GCA_002112185.1_ASM211218v1
1598	SAMN06640222	Lactobacillus reuteri F275, JCM 1112	438	GCF_002112245.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/245/GCF_002112245.1_ASM211224v1	GCA_002112245.1	PRJNA380292	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/112/245/GCA_002112245.1_ASM211224v1
1598	SAMN06640223	Lactobacillus reuteri F275, JCM 1112	438	GCF_002112805.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/805/GCF_002112805.1_ASM211280v1	GCA_002112805.1	PRJNA380292	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/112/805/GCA_002112805.1_ASM211280v1
1598	SAMN06848373	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254255.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/255/GCF_002254255.1_ASM225425v1	GCA_002254255.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/255/GCA_002254255.1_ASM225425v1
1598	SAMN06848374	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254245.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/245/GCF_002254245.1_ASM225424v1	GCA_002254245.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/245/GCA_002254245.1_ASM225424v1
1598	SAMN06848375	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254195.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/195/GCF_002254195.1_ASM225419v1	GCA_002254195.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/195/GCA_002254195.1_ASM225419v1
1598	SAMN06848376	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254185.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/185/GCF_002254185.1_ASM225418v1	GCA_002254185.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/185/GCA_002254185.1_ASM225418v1
1598	SAMN06848377	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254165.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/165/GCF_002254165.1_ASM225416v1	GCA_002254165.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/165/GCA_002254165.1_ASM225416v1
1598	SAMN06848378	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254175.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/175/GCF_002254175.1_ASM225417v1	GCA_002254175.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/175/GCA_002254175.1_ASM225417v1
1598	SAMN06848379	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254115.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/115/GCF_002254115.1_ASM225411v1	GCA_002254115.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/115/GCA_002254115.1_ASM225411v1
1598	SAMN06848380	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254085.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/085/GCF_002254085.1_ASM225408v1	GCA_002254085.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/085/GCA_002254085.1_ASM225408v1
1598	SAMN06848381	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254105.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/105/GCF_002254105.1_ASM225410v1	GCA_002254105.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/105/GCA_002254105.1_ASM225410v1
1598	SAMN06848382	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254045.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/045/GCF_002254045.1_ASM225404v1	GCA_002254045.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/045/GCA_002254045.1_ASM225404v1
1598	SAMN06848383	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254025.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/025/GCF_002254025.1_ASM225402v1	GCA_002254025.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/025/GCA_002254025.1_ASM225402v1
1598	SAMN06848384	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254095.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/095/GCF_002254095.1_ASM225409v1	GCA_002254095.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/095/GCA_002254095.1_ASM225409v1
1598	SAMN06848385	Lactobacillus reuteri F275, JCM 1112	438	GCF_002254035.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/035/GCF_002254035.1_ASM225403v1	GCA_002254035.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/254/035/GCA_002254035.1_ASM225403v1
1598	SAMN06848386	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253955.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/955/GCF_002253955.1_ASM225395v1	GCA_002253955.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/955/GCA_002253955.1_ASM225395v1
1598	SAMN06848387	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253925.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/925/GCF_002253925.1_ASM225392v1	GCA_002253925.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/925/GCA_002253925.1_ASM225392v1
1598	SAMN06848388	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253965.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/965/GCF_002253965.1_ASM225396v1	GCA_002253965.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/965/GCA_002253965.1_ASM225396v1
1598	SAMN06848389	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253975.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/975/GCF_002253975.1_ASM225397v1	GCA_002253975.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/975/GCA_002253975.1_ASM225397v1
1598	SAMN06848390	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253945.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/945/GCF_002253945.1_ASM225394v1	GCA_002253945.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/945/GCA_002253945.1_ASM225394v1
1598	SAMN06848391	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253905.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/905/GCF_002253905.1_ASM225390v1	GCA_002253905.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/905/GCA_002253905.1_ASM225390v1
1598	SAMN06848392	Lactobacillus reuteri F275, JCM 1112	438	GCF_002253835.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/835/GCF_002253835.1_ASM225383v1	GCA_002253835.1	PRJNA384810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/253/835/GCA_002253835.1_ASM225383v1
